lms_login_frequency,assignment_delay_days,attendance_percentage,sentiment_score,activity_irregularity_score,dropout_risk_score,burnout_risk_level
3,3.3,63.8,-0.63,8.7,84.1,High
15,0.4,86.8,0.61,0.8,16.5,Low
7,4.5,68.8,-0.14,4.7,74.0,High
9,1.2,68.4,0.57,3.5,34.5,Low
7,1.0,71.0,0.21,2.6,48.2,Medium
9,5.0,84.7,-0.11,3.2,39.3,Medium
19,0.1,95.2,0.47,0.5,2.0,Low
12,0.8,90.9,0.47,2.0,18.7,Low
7,0.6,77.1,0.22,3.6,35.0,Low
7,1.6,82.8,-0.03,6.2,50.9,Medium
3,3.8,44.5,-0.29,9.2,92.2,High
4,8.6,61.9,-0.78,7.6,90.7,High
1,7.2,61.5,-0.33,7.7,99.5,High
4,7.8,44.7,-0.56,6.6,91.6,High
16,0.2,69.6,-0.21,7.1,48.4,Medium
12,0.7,91.8,0.42,2.6,25.4,Low
3,4.8,58.2,-0.13,7.7,82.6,High
6,3.0,85.7,0.19,3.6,56.5,Medium
8,1.5,75.7,0.05,3.2,45.5,Medium
10,0.7,86.0,0.75,1.8,19.7,Low
9,2.3,74.5,0.01,5.4,51.2,Medium
5,0.4,72.1,0.47,7.3,53.5,Medium
3,2.0,49.7,-0.37,7.8,77.0,High
6,0.9,80.2,0.02,4.9,44.2,Medium
10,1.4,73.1,-0.42,3.2,48.5,Medium
6,12.1,57.1,-0.51,9.6,100.0,High
10,0.3,89.3,0.41,1.4,28.6,Low
8,1.5,73.7,0.03,4.0,54.9,Medium
15,0.6,92.8,0.72,1.6,7.8,Low
5,1.9,54.7,-0.69,7.4,74.6,High
4,12.1,45.9,-0.72,9.2,100.0,High
13,0.1,84.4,0.65,1.9,18.7,Low
4,2.9,64.6,-0.08,8.3,67.8,Medium
20,0.0,98.1,0.84,1.3,1.4,Low
1,0.4,56.5,-0.75,6.4,73.0,High
2,1.1,47.9,-0.39,8.6,82.5,High
1,1.5,47.0,-0.82,7.6,87.4,High
14,0.5,90.1,0.67,0.1,5.6,Low
3,1.9,47.1,-0.14,6.9,74.3,High
4,0.3,64.8,-0.38,9.9,80.4,High
8,6.0,78.4,0.45,4.4,47.8,Medium
4,0.1,40.0,-0.42,8.2,75.1,High
15,0.5,85.4,0.82,2.6,6.8,Low
3,4.9,50.4,-1.0,8.3,100.0,High
21,2.1,85.7,0.59,0.6,14.3,Low
2,5.6,40.5,-0.82,10.0,94.9,High
7,1.9,69.7,-0.16,5.0,62.1,Medium
21,0.6,97.9,0.53,1.9,4.5,Low
22,0.5,97.8,0.75,2.5,6.1,Low
18,0.1,93.3,0.38,2.5,8.9,Low
11,3.3,71.5,0.21,7.4,48.8,Medium
6,0.6,72.3,-0.76,8.0,52.0,Medium
5,0.1,65.7,0.34,3.7,46.2,Medium
16,0.6,92.7,0.91,2.1,0.9,Low
12,0.7,92.7,0.6,0.0,17.7,Low
2,10.1,39.3,-0.04,9.2,100.0,High
14,0.6,91.4,0.67,2.2,16.2,Low
5,6.6,59.3,-0.78,9.3,95.1,High
1,6.1,39.6,-0.8,8.0,100.0,High
12,0.8,74.2,-0.0,4.6,40.7,Medium
8,0.7,75.0,-0.16,6.7,40.6,Medium
2,1.1,68.4,-0.15,8.1,70.0,Medium
17,0.0,90.1,0.6,1.3,4.3,Low
10,0.7,88.2,0.27,2.5,24.7,Low
18,0.8,93.9,0.39,1.7,13.4,Low
1,0.9,45.9,-1.0,8.8,93.3,High
14,1.3,87.8,0.58,2.4,27.3,Low
7,0.1,69.2,-0.35,3.6,50.9,Medium
3,2.2,62.2,-0.43,8.2,77.2,High
4,2.8,34.2,-0.3,8.6,93.0,High
7,1.5,64.3,0.07,5.7,54.7,Medium
12,2.5,95.3,0.37,2.3,18.6,Low
6,9.0,68.7,-1.0,6.7,82.5,High
10,1.6,79.4,-0.2,4.9,46.4,Medium
14,0.2,92.5,0.85,3.4,6.3,Low
8,0.8,94.6,0.59,2.7,28.7,Low
4,9.9,70.7,-0.31,8.1,92.1,High
11,0.7,73.7,0.25,4.2,43.3,Medium
3,5.0,54.0,-0.47,7.2,85.0,High
1,3.3,53.0,-1.0,8.0,92.2,High
8,1.4,67.6,0.3,3.8,44.5,Medium
7,1.0,70.7,0.42,3.4,44.9,Medium
8,4.1,64.6,0.29,6.7,62.2,Medium
7,0.1,64.1,-0.52,3.3,48.2,Medium
7,0.8,74.1,0.21,6.3,57.3,Medium
2,0.2,44.7,-0.88,8.2,80.0,High
4,2.2,68.4,0.16,4.0,55.1,Medium
3,9.9,50.5,-0.82,9.2,100.0,High
9,0.5,82.2,-0.14,6.8,41.9,Medium
12,0.3,62.6,-0.34,6.9,51.5,Medium
12,2.7,73.8,-0.04,3.3,40.2,Medium
8,0.3,69.6,0.3,4.8,36.1,Medium
3,0.4,45.7,-0.32,7.2,72.5,High
13,0.7,90.6,0.61,2.9,25.0,Low
10,6.6,72.4,-0.16,6.8,66.3,Medium
11,0.0,95.1,0.6,2.9,22.4,Low
14,1.1,75.0,0.11,6.9,38.0,Medium
6,1.0,81.4,-0.08,0.5,41.5,Medium
3,2.3,83.5,0.02,2.7,52.7,Medium
4,3.4,40.0,-0.51,5.6,79.9,High
9,0.2,65.9,-0.31,7.7,56.2,Medium
1,1.3,55.5,-0.22,8.2,84.9,High
11,1.2,75.8,0.12,6.0,49.9,Medium
8,0.3,74.4,0.41,4.8,34.8,Low
12,1.6,87.8,0.57,1.4,15.2,Low
20,0.4,78.2,0.77,1.6,26.4,Low
6,2.7,77.9,-0.26,2.4,56.1,Medium
6,1.7,69.6,0.23,1.3,48.7,Medium
11,2.5,94.0,0.18,2.8,29.9,Low
20,1.2,84.1,0.91,4.1,21.2,Low
7,0.3,93.8,0.35,1.9,30.4,Low
5,15.3,72.8,-1.0,8.6,100.0,High
11,6.7,77.0,0.09,4.8,54.7,Medium
9,1.0,87.0,-0.34,2.8,37.6,Medium
11,0.2,100.0,0.73,1.8,18.4,Low
4,3.8,72.2,0.09,3.6,64.1,Medium
21,0.2,88.3,0.34,3.0,24.6,Low
10,0.6,86.1,1.0,1.7,16.7,Low
10,4.0,71.6,-0.0,5.7,54.1,Medium
10,0.1,93.9,0.46,0.6,17.1,Low
17,0.9,86.6,0.3,3.0,14.2,Low
9,0.2,88.2,0.67,2.1,20.0,Low
14,0.2,93.6,0.54,1.3,5.3,Low
14,0.0,88.3,0.47,1.8,16.7,Low
9,6.1,77.4,0.1,4.9,60.3,Medium
2,1.1,63.0,-0.51,8.3,74.4,High
8,0.5,69.1,0.49,6.2,43.5,Medium
8,2.6,70.6,0.15,3.3,50.9,Medium
23,0.1,92.7,0.39,3.7,15.9,Low
2,3.9,56.2,-0.37,8.5,82.1,High
7,4.3,52.4,-0.18,2.4,58.6,Medium
15,0.3,88.5,0.73,0.3,12.2,Low
8,0.8,71.1,0.32,6.4,51.2,Medium
15,0.2,99.9,0.63,1.5,3.5,Low
13,0.7,70.8,0.07,6.1,40.7,Medium
10,1.2,65.4,-0.29,3.3,61.4,Medium
1,8.1,68.3,-0.52,7.5,99.9,High
3,2.4,67.7,0.02,4.2,63.2,Medium
3,4.3,61.3,-0.53,8.1,87.4,High
2,11.5,45.7,-0.32,8.7,100.0,High
13,1.4,78.2,0.38,2.5,26.6,Low
20,0.0,83.5,0.56,1.7,9.2,Low
4,2.3,75.7,-0.24,4.1,60.7,Medium
12,1.8,70.2,-0.1,2.1,43.0,Medium
10,0.2,76.2,0.05,4.7,47.1,Medium
7,0.5,75.4,-0.31,7.9,50.2,Medium
2,6.7,65.4,-0.34,8.1,96.2,High
10,0.1,84.5,-0.61,5.2,43.3,Medium
5,0.7,73.8,0.35,4.5,44.8,Medium
0,7.6,59.2,-0.52,6.8,100.0,High
3,2.5,61.5,-0.18,8.9,75.5,High
6,5.2,50.7,-0.98,9.0,92.4,High
14,0.1,90.1,0.46,3.3,12.2,Low
8,1.7,67.8,0.45,2.3,36.8,Medium
16,0.9,98.2,0.47,2.9,21.5,Low
15,0.1,83.8,0.59,3.9,23.6,Low
15,0.0,89.0,0.58,3.4,21.7,Low
8,1.1,66.3,-0.75,4.5,59.6,Medium
5,0.9,71.8,-0.07,4.4,53.8,Medium
26,0.6,87.0,0.77,2.7,17.3,Low
5,2.4,78.8,-0.01,2.9,49.4,Medium
12,0.8,65.9,0.47,5.1,43.0,Medium
11,0.9,74.2,-0.27,2.6,47.2,Medium
14,0.0,94.5,0.48,1.8,16.8,Low
7,0.6,75.5,0.48,8.4,43.6,Medium
4,9.1,60.4,-0.91,10.0,100.0,High
12,0.2,82.1,0.33,1.4,24.6,Low
11,0.1,92.4,0.34,2.9,30.0,Low
8,0.1,87.1,0.45,5.9,40.6,Medium
1,5.1,44.8,-0.5,8.0,96.1,High
9,0.5,76.3,-0.14,3.5,42.0,Medium
5,0.6,76.6,-0.0,5.2,60.2,Medium
8,0.0,77.0,0.17,6.0,52.4,Medium
8,0.7,73.9,-0.33,2.5,44.7,Medium
18,1.0,87.7,0.38,3.4,29.0,Low
15,0.8,73.1,0.59,3.8,30.7,Low
3,0.5,70.2,-0.33,7.6,60.8,Medium
7,1.8,85.9,0.51,4.7,43.2,Medium
3,6.0,74.0,-0.63,8.4,85.4,High
2,5.8,68.0,-0.56,8.6,92.0,High
9,0.1,98.5,0.57,1.7,19.4,Low
8,9.8,68.7,-0.39,5.6,85.4,High
17,0.2,91.2,0.66,3.0,15.7,Low
10,0.7,74.2,-0.13,3.8,36.9,Medium
11,0.8,95.9,0.72,0.5,18.5,Low
12,0.8,92.2,0.71,2.0,18.3,Low
6,0.5,69.7,-0.11,6.5,51.0,Medium
12,0.3,85.7,0.25,2.1,33.6,Low
4,2.9,79.2,0.96,5.5,51.6,Medium
5,2.2,72.5,-0.0,5.5,55.3,Medium
13,0.7,80.4,0.65,1.7,20.5,Low
17,0.6,97.3,0.85,2.5,15.5,Low
9,1.0,69.3,0.07,5.3,47.1,Medium
8,0.4,63.3,0.03,5.6,60.1,Medium
0,6.8,59.7,-0.63,6.6,89.9,High
4,2.4,67.3,-0.26,4.1,69.7,Medium
0,0.0,54.7,-0.93,10.0,81.7,High
9,1.4,70.0,-0.18,3.9,49.6,Medium
9,7.6,84.7,-0.35,5.8,68.2,Medium
9,2.9,71.1,-0.17,8.5,54.8,Medium
13,0.1,90.3,0.53,4.0,21.8,Low
8,0.3,65.5,0.23,4.1,29.3,Low
2,22.9,49.2,0.0,6.8,100.0,High
8,1.6,63.9,0.12,6.7,53.5,Medium
3,6.5,50.2,-0.34,8.7,90.4,High
1,1.9,66.7,-0.61,8.7,79.8,High
4,4.3,41.1,-0.89,7.6,100.0,High
2,3.1,50.3,-0.88,7.1,83.8,High
7,0.1,67.3,0.58,7.6,40.9,Medium
3,2.3,87.1,0.13,6.0,59.0,Medium
8,2.4,86.6,-0.35,6.6,50.5,Medium
10,2.4,66.1,-0.09,5.3,53.5,Medium
14,2.0,59.7,0.04,6.1,47.2,Medium
0,0.7,58.8,-0.46,6.9,88.8,High
6,0.4,83.7,-0.18,4.2,40.6,Medium
7,6.9,72.8,0.03,4.9,61.4,Medium
11,0.4,86.2,1.0,2.6,12.3,Low
8,2.2,81.8,0.41,5.1,48.8,Medium
15,0.2,86.3,0.37,0.5,11.6,Low
4,2.7,39.2,-0.86,8.1,92.5,High
7,0.2,66.5,0.2,6.3,52.6,Medium
17,0.4,81.8,0.38,2.5,18.7,Low
18,0.3,95.7,0.26,0.5,10.5,Low
10,0.6,76.2,-0.09,3.9,38.8,Medium
10,1.2,81.6,0.17,6.5,43.5,Medium
13,1.2,78.4,-0.44,5.9,46.2,Medium
16,0.6,93.7,0.78,1.6,17.2,Low
14,1.5,69.7,-0.03,4.5,41.6,Medium
9,0.2,68.1,0.55,5.6,37.1,Medium
9,0.2,80.7,0.07,8.2,42.0,Medium
9,0.6,84.9,0.21,2.0,29.4,Low
10,4.9,76.7,-0.13,6.1,59.9,Medium
16,0.2,86.0,0.85,2.0,1.7,Low
3,1.8,84.0,-0.86,9.9,70.1,High
8,1.3,65.7,-0.12,1.7,39.2,Medium
6,0.1,93.1,0.18,7.0,41.2,Medium
10,0.2,92.5,0.23,0.9,19.1,Low
6,3.7,64.9,0.04,5.2,63.1,Medium
13,0.1,86.0,0.64,2.1,18.1,Low
9,2.0,88.8,-0.32,6.3,52.0,Medium
4,0.0,56.9,-0.53,7.5,60.8,Medium
6,1.7,80.7,-0.07,4.7,39.1,Medium
15,0.4,87.6,0.53,2.5,28.6,Low
11,0.0,86.1,0.42,1.9,17.0,Low
8,2.8,79.4,0.03,4.0,49.5,Medium
15,0.0,92.0,0.51,2.3,15.7,Low
15,0.6,87.9,0.58,3.4,12.0,Low
2,0.1,72.8,-0.48,9.3,66.8,Medium
7,0.9,77.1,-0.3,7.0,56.7,Medium
11,0.1,87.0,0.26,2.1,26.5,Low
2,1.5,60.3,-0.96,8.9,81.8,High
17,0.1,85.9,0.85,1.3,0.0,Low
2,2.6,56.5,-0.6,8.6,86.5,High
12,0.1,77.8,-0.06,5.9,38.8,Medium
3,0.8,61.0,-0.6,10.0,80.8,High
10,0.2,88.3,0.66,5.5,29.7,Low
5,7.8,54.6,-0.73,8.0,99.0,High
1,4.3,53.5,-0.75,9.0,92.3,High
9,0.3,83.3,0.68,3.6,35.0,Low
3,4.6,53.4,-0.49,8.2,87.4,High
6,0.3,84.7,0.13,3.8,45.4,Medium
8,3.9,62.5,0.15,5.6,62.5,Medium
9,0.0,72.3,0.3,3.2,29.9,Low
10,0.2,75.4,-0.61,5.0,47.2,Medium
15,0.1,90.3,0.75,2.3,10.6,Low
15,0.2,77.4,0.42,4.3,26.0,Low
9,3.9,78.5,-0.46,4.7,61.2,Medium
2,0.7,71.6,-1.0,8.8,74.7,High
2,7.8,49.7,-0.83,8.8,100.0,High
3,0.8,85.0,-0.02,3.5,42.1,Medium
4,0.3,81.1,-0.01,4.8,45.6,Medium
17,0.3,89.1,0.77,3.9,16.1,Low
15,0.2,89.3,0.43,1.1,14.1,Low
16,0.2,91.6,0.55,1.4,12.8,Low
12,5.5,55.0,-0.13,3.2,60.7,Medium
8,0.4,100.0,0.85,0.4,19.0,Low
2,6.7,54.5,-1.0,8.1,90.2,High
10,4.3,83.9,0.08,5.5,46.4,Medium
8,1.5,63.0,0.26,5.0,53.8,Medium
5,1.7,66.6,0.09,5.8,59.8,Medium
19,0.1,100.0,0.41,1.6,12.2,Low
10,0.5,59.4,0.37,5.6,43.1,Medium
8,0.4,83.3,0.35,7.8,46.2,Medium
10,0.9,73.7,0.14,7.2,49.2,Medium
10,1.4,71.4,0.0,5.3,41.7,Medium
1,7.4,61.5,-0.36,7.9,94.3,High
7,5.1,66.5,-0.71,8.1,77.1,High
5,4.5,78.0,0.18,4.1,54.1,Medium
8,2.7,72.8,0.03,6.4,56.4,Medium
4,4.4,78.9,-0.28,4.8,68.4,Medium
18,0.2,92.7,0.5,1.1,5.8,Low
10,0.1,63.1,-0.37,6.1,44.8,Medium
12,0.4,86.5,0.43,3.5,30.6,Low
6,3.0,71.6,0.34,5.0,49.1,Medium
4,1.2,70.8,-0.35,5.9,58.7,Medium
11,0.2,92.6,1.0,3.8,15.2,Low
7,4.2,60.9,-1.0,9.3,89.5,High
3,5.0,69.4,-0.65,7.8,82.0,High
3,0.2,65.7,-0.43,8.8,72.4,High
8,4.6,72.6,-0.07,3.6,63.9,Medium
3,1.8,48.2,-0.19,7.6,77.4,High
19,0.1,86.5,0.43,3.4,29.3,Low
3,2.7,70.9,0.02,8.1,66.3,Medium
17,0.2,95.0,0.49,2.2,5.3,Low
7,0.2,58.1,-0.46,8.6,67.6,Medium
15,0.6,94.9,0.84,1.8,11.6,Low
0,12.0,59.9,-0.75,7.6,100.0,High
3,5.3,54.0,0.11,8.5,85.3,High
14,0.2,83.1,0.41,2.7,19.7,Low
9,0.4,84.1,-0.45,7.3,44.6,Medium
3,2.5,46.2,-0.29,7.6,75.4,High
8,0.3,73.0,-0.1,3.5,36.7,Medium
4,8.0,43.8,-0.95,8.4,100.0,High
15,0.2,81.8,0.05,6.7,30.9,Low
9,4.2,80.5,0.11,4.6,45.3,Medium
12,0.2,86.1,0.55,0.0,22.3,Low
21,0.3,93.5,0.62,1.1,7.3,Low
5,3.5,55.1,-0.27,5.9,72.9,High
11,2.2,68.9,0.35,5.0,37.2,Medium
14,4.7,76.1,0.2,5.7,42.7,Medium
10,2.3,79.8,-0.53,3.1,55.6,Medium
8,0.8,63.3,-0.08,4.3,48.1,Medium
3,12.7,69.0,-0.86,8.4,99.7,High
2,4.5,45.8,-0.46,8.8,92.7,High
8,0.3,65.3,-0.07,4.0,50.0,Medium
3,4.1,56.2,-0.68,7.2,90.8,High
4,6.2,63.6,-0.39,7.7,82.0,High
7,3.7,81.0,-0.06,6.2,52.4,Medium
2,2.3,45.8,-0.26,9.9,90.0,High
18,0.1,88.9,0.88,1.8,15.8,Low
11,0.7,80.6,0.89,5.0,26.6,Low
2,2.5,42.0,-0.5,6.4,77.2,High
9,0.3,66.1,-0.39,2.5,38.7,Medium
3,3.4,48.1,-0.52,8.0,80.6,High
2,0.1,58.0,-0.51,6.6,77.9,High
11,0.4,88.8,0.57,2.5,30.4,Low
3,1.7,65.3,-0.35,9.0,71.4,High
9,4.2,71.4,0.33,5.8,49.3,Medium
4,2.0,73.8,0.62,4.5,41.6,Medium
4,0.8,78.5,0.16,5.0,51.5,Medium
2,3.1,75.5,-0.79,8.2,78.6,High
14,0.7,86.6,0.47,2.2,28.6,Low
4,1.8,86.6,0.19,4.8,55.3,Medium
6,0.6,72.1,0.18,2.9,48.5,Medium
1,4.3,51.9,-0.7,6.9,94.0,High
6,3.9,81.0,0.11,4.8,51.0,Medium
12,1.8,85.3,0.38,0.4,16.1,Low
18,0.1,95.5,0.99,2.2,5.8,Low
8,2.4,68.4,-0.58,6.2,58.0,Medium
1,0.3,25.4,0.31,7.7,82.4,High
17,0.7,90.4,0.52,3.2,18.1,Low
21,0.1,94.6,0.66,2.1,6.2,Low
1,5.7,64.1,-0.01,6.2,82.1,High
17,0.2,93.6,0.52,0.6,12.1,Low
4,1.8,46.1,-0.37,8.4,78.0,High
8,0.2,74.6,0.1,5.9,51.3,Medium
1,1.9,70.1,0.04,7.4,75.4,High
11,0.6,95.3,0.53,2.1,23.2,Low
14,0.0,87.1,0.92,1.7,15.4,Low
3,12.4,50.6,-0.63,7.1,100.0,High
3,8.2,37.6,-0.08,8.2,100.0,High
2,0.1,47.4,-0.63,6.9,70.1,High
18,0.7,89.1,0.94,0.8,4.0,Low
4,7.9,58.7,-0.2,8.1,93.8,High
2,11.8,56.7,-0.71,7.6,100.0,High
5,1.9,84.0,0.31,5.9,51.0,Medium
6,5.7,50.8,-0.72,10.0,92.0,High
5,9.7,48.1,-1.0,9.3,100.0,High
10,0.1,76.9,0.16,4.3,39.9,Medium
16,0.6,97.3,0.63,1.3,13.4,Low
5,1.6,70.9,0.22,5.6,57.6,Medium
16,0.0,83.2,0.45,1.7,10.3,Low
7,3.1,47.8,0.51,3.0,49.7,Medium
3,0.3,69.2,0.27,4.7,52.3,Medium
13,0.1,84.1,0.38,2.5,23.9,Low
5,1.1,81.0,0.16,5.3,47.7,Medium
12,0.3,92.4,0.46,2.7,23.2,Low
1,1.5,74.1,-0.59,8.7,64.8,Medium
3,8.2,48.2,-0.4,9.9,100.0,High
9,0.1,93.6,0.6,0.2,27.8,Low
0,0.7,52.9,0.31,8.7,74.2,High
10,3.0,92.1,0.05,5.7,44.7,Medium
14,0.1,86.4,0.66,0.5,17.3,Low
18,0.1,81.3,0.33,3.0,15.6,Low
5,1.5,66.7,0.02,6.1,56.4,Medium
0,3.4,74.4,-0.41,8.1,78.3,High
0,1.5,63.8,-0.5,7.9,79.4,High
17,0.5,90.3,0.16,0.0,9.6,Low
18,0.9,95.4,0.59,1.1,7.2,Low
13,0.9,80.7,-0.03,6.2,38.9,Medium
18,0.6,88.1,0.34,2.4,24.1,Low
19,0.7,91.1,0.32,3.7,9.8,Low
10,0.5,98.8,1.0,2.7,17.5,Low
4,1.8,47.7,-0.71,6.7,86.6,High
4,0.3,51.9,-0.66,8.4,74.0,High
13,0.0,52.5,-0.01,3.7,48.0,Medium
7,3.1,57.5,-0.74,10.0,77.0,High
11,3.2,74.7,-0.48,7.2,62.5,Medium
15,1.0,88.1,-0.14,3.9,28.0,Low
13,0.7,89.7,0.94,1.6,10.7,Low
15,2.2,78.6,0.1,1.8,24.3,Low
3,1.0,39.2,-0.73,8.3,79.2,High
7,1.2,79.1,0.01,5.3,52.5,Medium
7,1.2,64.6,0.12,4.8,55.9,Medium
8,1.3,76.6,-0.02,4.9,46.2,Medium
19,0.4,96.3,0.52,0.8,8.9,Low
5,1.5,47.8,-0.51,7.8,72.0,High
7,2.2,61.6,0.2,6.0,61.5,Medium
9,2.7,69.2,0.06,4.7,49.2,Medium
9,4.8,86.8,0.51,7.7,51.1,Medium
6,1.0,81.8,-0.12,5.2,49.8,Medium
9,0.1,98.9,0.54,1.9,20.6,Low
7,0.7,80.1,0.26,7.8,54.8,Medium
9,0.7,93.8,0.63,2.5,20.7,Low
2,6.6,56.6,-0.64,6.8,90.6,High
4,9.1,63.9,-0.09,8.5,89.6,High
7,4.9,50.9,-0.34,10.0,78.9,High
4,0.7,82.5,0.07,3.1,50.0,Medium
11,0.6,71.8,-0.09,4.1,37.8,Medium
16,0.4,95.5,0.7,1.9,10.7,Low
1,0.6,53.1,0.15,7.6,79.8,High
10,0.0,87.0,0.43,3.6,28.1,Low
13,1.6,74.7,-0.1,4.0,40.4,Medium
16,0.8,83.6,0.84,0.9,10.5,Low
19,0.4,90.3,0.57,0.8,13.8,Low
7,12.6,80.2,0.41,5.2,83.4,High
12,0.4,94.0,0.62,2.2,13.2,Low
5,0.2,50.8,-0.47,8.9,77.8,High
7,3.0,81.3,0.0,6.0,49.4,Medium
8,0.1,89.8,0.57,2.8,24.9,Low
3,0.1,70.4,-0.38,5.2,60.5,Medium
13,0.1,91.5,0.72,1.6,15.1,Low
10,1.0,92.9,0.36,4.9,37.3,Medium
2,25.2,64.5,-0.65,7.8,93.9,High
16,0.6,92.5,0.68,1.9,6.3,Low
3,12.8,67.1,-0.56,7.0,96.7,High
10,0.1,91.5,0.75,2.7,28.6,Low
14,1.3,76.3,1.0,1.7,17.8,Low
2,3.5,68.1,-0.33,7.0,80.3,High
6,0.4,55.6,-0.16,6.1,60.6,Medium
17,0.1,83.3,0.16,0.5,19.6,Low
11,0.5,79.2,-0.03,5.3,34.6,Low
17,0.7,90.1,0.68,2.5,6.3,Low
4,1.8,58.8,-0.82,6.2,79.2,High
12,0.2,78.5,-0.14,3.7,29.5,Low
3,1.6,69.7,-0.34,8.6,69.6,Medium
1,17.6,50.8,-0.44,10.0,100.0,High
6,11.6,69.6,-0.13,6.3,86.8,High
1,0.5,56.3,-0.61,9.8,87.4,High
13,1.2,78.2,-0.07,6.8,38.0,Medium
0,1.3,68.1,-0.85,7.8,80.3,High
11,0.1,93.2,0.46,0.3,9.1,Low
11,1.8,69.8,0.23,4.7,45.3,Medium
7,1.2,74.7,0.03,1.4,41.1,Medium
10,1.0,72.2,-0.33,6.2,41.8,Medium
10,0.6,85.0,0.0,3.8,32.9,Low
1,13.1,51.2,-0.28,8.4,100.0,High
21,0.0,89.8,0.56,2.5,15.7,Low
15,0.5,85.5,0.43,1.6,18.0,Low
0,2.1,73.9,-0.52,8.7,85.0,High
7,1.5,89.5,-0.03,6.4,47.5,Medium
2,1.9,51.2,-0.25,8.3,72.1,High
1,1.8,67.7,-0.65,7.3,87.3,High
4,2.1,59.5,-0.64,6.0,75.8,High
4,4.5,46.0,-1.0,9.9,91.4,High
16,0.0,94.5,0.66,1.6,6.4,Low
15,0.0,82.1,0.45,1.5,13.9,Low
3,1.2,46.5,-0.22,8.0,79.0,High
7,0.1,71.0,0.3,5.7,38.7,Medium
17,0.2,89.2,0.87,4.2,19.8,Low
6,0.7,69.6,0.54,6.7,52.5,Medium
5,2.6,35.8,-0.76,7.3,87.6,High
8,4.9,82.0,-0.29,5.6,56.3,Medium
5,1.8,66.3,0.03,1.2,49.6,Medium
9,0.2,82.9,0.12,2.8,35.5,Medium
16,0.1,95.6,0.63,3.0,14.5,Low
8,5.3,67.9,-0.37,6.2,77.2,High
8,0.2,72.3,0.02,8.8,53.2,Medium
12,0.2,91.3,0.63,2.5,18.1,Low
2,1.2,60.9,-0.12,8.7,69.7,Medium
11,5.2,70.1,-0.44,1.9,54.0,Medium
5,3.9,56.4,-0.49,8.0,77.1,High
1,4.7,62.6,-0.75,6.5,87.9,High
15,1.0,91.6,0.62,1.6,16.5,Low
6,1.7,74.2,-0.04,4.5,45.2,Medium
4,3.6,68.8,-0.12,5.2,64.9,Medium
4,7.0,62.8,-0.84,8.4,89.5,High
12,0.1,89.0,0.62,1.6,15.6,Low
5,0.3,78.1,0.01,3.2,53.4,Medium
4,3.8,74.6,0.05,4.7,63.8,Medium
14,0.0,100.0,1.0,1.2,10.5,Low
18,0.5,89.8,0.71,2.9,13.4,Low
7,1.9,76.1,0.37,5.6,50.4,Medium
3,2.3,57.5,-0.45,8.9,81.7,High
6,6.6,66.5,0.07,5.3,71.2,High
3,2.3,58.7,0.05,5.5,67.0,Medium
6,0.1,88.1,-0.09,5.3,49.2,Medium
5,3.9,57.1,-0.3,9.2,83.3,High
9,1.6,83.0,0.41,0.6,33.2,Low
3,2.7,41.2,-0.69,8.0,78.1,High
12,0.6,87.6,0.55,2.4,21.5,Low
4,6.2,72.0,-0.56,7.2,78.4,High
13,2.7,99.3,0.2,3.4,27.2,Low
12,0.7,94.0,0.57,2.9,30.4,Low
7,8.7,70.8,0.46,5.4,67.0,Medium
19,1.1,90.3,0.48,0.9,11.7,Low
3,2.7,52.9,-0.13,8.8,76.6,High
11,0.3,100.0,0.63,2.1,9.1,Low
9,1.4,64.5,-0.14,5.2,52.1,Medium
17,1.1,63.9,0.71,5.5,30.4,Low
7,0.2,91.9,0.92,1.6,27.2,Low
12,0.0,82.2,0.35,2.1,23.2,Low
9,1.3,77.8,0.19,5.6,48.1,Medium
5,2.8,67.1,-0.1,1.8,56.8,Medium
16,2.5,86.8,0.21,6.3,27.9,Low
11,3.5,71.9,0.2,4.6,45.2,Medium
4,2.2,87.4,0.55,4.5,43.2,Medium
19,1.1,93.4,0.59,3.2,10.0,Low
7,1.0,69.4,-0.21,5.5,50.2,Medium
4,2.1,49.6,-0.62,9.3,83.0,High
11,8.2,56.2,0.07,6.1,64.9,Medium
4,0.5,67.2,0.34,5.4,48.1,Medium
9,2.2,88.0,-0.21,3.7,37.1,Medium
3,1.0,54.2,-0.65,9.0,81.6,High
2,5.3,51.5,-0.89,7.8,96.6,High
6,0.7,75.0,0.12,6.3,56.7,Medium
3,3.1,46.0,-0.63,9.5,86.3,High
19,0.1,87.2,0.28,0.6,7.5,Low
13,1.7,84.5,0.96,2.2,25.3,Low
2,1.2,54.6,-0.58,8.3,78.8,High
4,5.1,65.1,-0.24,6.6,78.3,High
15,0.3,85.1,0.58,1.2,9.1,Low
12,0.7,87.3,0.8,2.8,18.4,Low
16,0.6,94.9,0.24,1.8,17.5,Low
15,0.8,90.8,0.48,1.8,22.9,Low
1,5.7,53.2,-0.23,6.5,90.8,High
8,0.4,85.0,-0.35,6.1,46.9,Medium
8,0.3,74.3,0.14,6.0,38.8,Medium
5,0.1,75.9,-0.69,5.0,64.8,Medium
19,0.0,92.3,0.48,1.4,13.1,Low
11,0.7,91.0,0.27,0.9,19.2,Low
9,1.7,76.5,0.1,2.5,39.4,Medium
4,2.2,60.5,-0.53,7.9,67.0,Medium
3,15.3,52.8,-0.88,7.4,97.5,High
13,0.1,90.8,0.86,1.9,14.9,Low
